# WRF_VERSION WPS_VERSION WRF_TAG_COMMIT WPS_TAG_COMMIT
4.8.0 4.7.0 06d4240ae989cc3e50af412bb472df3d9048783c 5feccecd63384381b6942371c7a837f66e4ccb84
4.5.2 4.5 a8eb846859cb39d0acfd1d3297ea9992ce66424a 5a2ae63988e632405a4504cfb143ce7f0230a7a0
